,,
,,
Country name ,Iso Code,Pop:Rep ratio
AFGHANISTAN,AFG,149286
ALBANIA,ALB,20474
ALGERIA,DZA,94543
ANDORRA,AND,2750
ANGOLA,AGO,140044
ANTIGUA AND BARBUDA,ATG,5349
ARGENTINA,ARG,173130
ARMENIA,ARM,28112
AUSTRALIA,AUS,166551
AUSTRIA,AUT,48308
AZERBAIJAN,AZE,79518
BAHAMAS,BHS,9888
BAHRAIN,BHR,39235
BANGLADESH,BGD,461017
BARBADOS,BRB,9554
BELARUS,BLR,86213
BELGIUM,BEL,76221
BELIZE,BLZ,11970
BENIN,BEN,138374
BHUTAN,BTN,16050
BOLIVIA (PLURINATIONAL STATE OF),BOL,87331
BOSNIA AND HERZEGOVINA,BIH,79141
BOTSWANA,BWA,35779
BRAZIL,BRA,408322
BRUNEI DARUSSALAM,BRN,9532
BULGARIA,BGR,29270
BURKINA FASO,BFA,155523
BURUNDI,BDI,92358
CABO VERDE,CPV,7552
CAMBODIA,KHM,129998
CAMEROON,CMR,140090
CANADA,CAN,31449
CENTRAL AFRICAN REPUBLIC,CAF,33331
CHAD,TCD,82328
CHILE,CHL,120833
CHINA,CHN,464243
COLOMBIA,COL,288655
COMOROS,COM,25221
CONGO,COD,34730
COSTA RICA,CRI,87709
COTE D'IVOIRE,CIV,98310
CROATIA,HRV,27071
CUBA,CUB,18740
CYPRUS,CYP,14865
CZECH REPUBLIC,CZE,53149
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,37190
DEMOCRATIC REPUBLIC OF THE CONGO,KOR,168136
DENMARK,DNK,32366
DJIBOUTI,DJI,14752
DOMINICA,DMA,2238
DOMINICAN REPUBLIC,DOM,55932
ECUADOR,ECU,124703
EGYPT,EGY,165140
EL SALVADOR,SLV,2165
EQUATORIAL GUINEA,GNQ,13089
ERITREA,ERI,21565
ESTONIA,EST,13088
ESWATINI,SWZ,17479
ETHIOPIA,ETH,199679
FIJI,FJI,17669
FINLAND,FIN,27577
FRANCE,FRA,116078
GABON,GAB,17660
GAMBIA (THE),GMB,39312
GEORGIA,GEO,24843
GERMANY,DEU,138638
GHANA,GHA,108244
GREECE,GRC,35772
GRENADA,GRD,7430
GUATEMALA,GTM,112613
GUINEA,GIN,20000
GUINEA-BISSAU,GNB,18375
GUYANA,GUY,11289
HAITI,HTI,93472
HUNGARY,HUN,49123
ICELAND,ISL,5598
INDIA,IND,2481866
INDONESIA,IDN,477970
IRAN (ISLAMIC REPUBLIC OF),IRN,282069
IRAQ,IRQ,116819
IRELAND,IRL ,30805
ISRAEL,ISR,74023
ITALY,ITA,95907
JAMAICA,JAM,46585
JAPAN,JPN,272105
JORDAN,JOR,76584
KAZAKHSTAN,KAZ,170770
KENYA,KEN,146837
KIRIBATI,KIR,2518
KUWAIT,KWT,63650
KYRGYZSTAN,KGZ,52690
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,47392
LATVIA,LVA,19271
LEBANON,LBN,53507
LESOTHO,LSO,17279
LIBERIA,LBR,66013
LIBYA,LBY,33392
LIECHTENSTEIN,LIE,1516
LITHUANIA,LTU,19869
LUXEMBOURG,LUX,10132
MADAGASCAR,MDG,173922
MALAWI,MWI,94006
MALAYSIA,MYS,141383
MALDIVES,MDV,6067
MALI,MLI,129780
MALTA,MLT,7455
MARSHALL ISLANDS,MHL,1770
MAURITANIA,MRT,29954
MAURITIUS,MUS,18337
MEXICO,MEX,252381
MICRONESIA (FEDERATED STATES OF),FSM,8045
MONACO,MDA,1611
MONGOLIA,MNG,41713
MONTENEGRO,MNE,7681
MOROCCO,MAR,91213
MOZAMBIQUE,MOZ,117983
MYANMAR,MMR,122064
NAMIBIA,NAM,23540
NAURU,NRU,668
NEPAL,NPL,102137
NETHERLANDS,NLD,114877
NEW ZEALAND,NZL,40341
NICARAGUA,NIC,70277
NIGER,NER,131245
NIGERIA,NGA,544096
NORWAY,NOR,31431
OMAN,OMN,56817
PAKISTAN,PAK,620511
PALAU,PLW,1119
PANAMA,PAN,58829
PAPUA NEW GUINEA,PNG,77534
PARAGUAY,PRY,86950
PERU,PER,246071
PHILIPPINES,PHL,359097
POLAND,POL,82553
PORTUGAL,PRT,44712
QATAR,QAT,67845
REPUBLIC OF KOREA,PRK,172022
REPUBLIC OF MOLDOVA,MDA,26792
ROMANIA,ROU,59167
RUSSIAN FEDERATION,RUS,321062
RWANDA,RWA,153774
SAINT KITTS AND NEVIS,KNA,3496
SAINT LUCIA,LCA,10104
SAINT VINCENT AND THE GRENADINES,VCT,4791
SAMOA,WSM,3922
SAN MARINO,SMR,563
SAO TOME AND PRINCIPE,STP,3836
SAUDI ARABIA,SAU,223178
SENEGAL,SEN,96087
SERBIA,SRB,27930
SEYCHELLES,SYC,2764
SIERRA LEONE,SLE,52398
SINGAPORE,SGP,55828
SLOVAKIA,SVK,34562
SLOVENIA,SVN,23043
SOLOMON ISLANDS,SLB,13057
SOMALIA,SOM,54575
SOUTH AFRICA,ZAF,144449
SOUTH SUDAN,SSD,27439
SPAIN,ESP,133704
SRI LANKA,LKA,96311
SUDAN,SDN,98125
SURINAME,SUR,11293
SWEDEN,SWE,29155
SWITZERLAND,CHE,42566
SYRIAN ARAB REPUBLIC,SYR,67625
TAJIKISTAN,TJK,144457
THAILAND,THA,277714
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,MKD,15614
TIMOR-LESTE,TLS,19507
TOGO,TGO,86693
TONGA,TON,3439
TRINIDAD AND TOBAGO,TTO,33091
TUNISIA,TUN,53295
TURKEY,TUR,137199
TURKMENISTAN,TKM,46807
TUVALU,TUV,767
UGANDA,UGA,91877
UKRAINE,UKR,99161
UNITED ARAB EMIRATES,ARE,240773
UNITED KINGDOM,GBR,102246
UNITED REPUBLIC OF TANZANIA,TZA,143303
UNITED STATES OF AMERICA,USA,751005
URUGUAY,URY,34841
UZBEKISTAN,UZB,219702
VANUATU,VUT,5628
VENEZUELA (BOLIVARIAN REPUBLIC OF),VEM,172875
VIET NAM,VNM,191080
YEMEN,YEM,94680
ZAMBIA,ZMB,103903
ZIMBABWE,ZWE,53477